university,private,apps,accept,enroll,top10perc,top25perc,f_undergrad,p_undergrad,outstate,room_board,books,personal,phd,terminal,s_f_ratio,perc_alumni,expend,grad_rate,reject,perc_accept,perc_actually_came
Florida International University,No,3306,2079,1071,42,89,10208,9310,6597,2494,800,3028,81.0,96,13.9,20,6722,66,1227,62.89,51.52
Florida Southern College,Yes,1381,1040,374,20,44,1506,970,8025,4865,400,650,65.0,74,17.4,10,6339,68,341,75.31,35.96
Florida State University,No,11651,8683,3023,50,90,18906,3242,6680,4060,600,1020,80.0,89,23.1,15,7250,58,2968,74.53,34.82
Fontbonne College,Yes,291,245,126,16,49,981,337,8390,4100,350,1500,45.0,55,21.5,24,4607,62,46,84.19,51.43
Fordham University,Yes,4200,2874,942,30,55,4740,1646,14235,6965,600,1735,86.0,97,14.4,14,10864,80,1326,68.43,32.78
Fort Lewis College,No,3440,2823,1123,16,35,3793,486,6198,3320,500,2500,89.0,97,19.1,6,4362,46,617,82.06,39.78
Francis Marion University,No,1801,1655,819,13,38,3224,436,5840,3138,400,2430,76.0,76,19.1,8,5039,43,146,91.89,49.49
Franciscan University of Steubenville,Yes,553,452,228,22,49,1301,242,9650,4400,600,1000,57.0,69,14.9,8,6336,83,101,81.74,50.44
Franklin College,Yes,804,632,281,29,72,840,68,10390,4040,525,1345,54.0,78,12.5,37,11751,60,172,78.61,44.46
Franklin Pierce College,Yes,5187,4471,446,3,14,1818,1197,13320,4630,500,800,50.0,56,17.6,16,6418,51,716,86.2,9.98
Freed-Hardeman University,Yes,895,548,314,20,54,1174,50,5500,3340,600,1600,68.0,76,16.1,13,6078,62,347,61.23,57.3
Fresno Pacific College,Yes,346,274,146,51,87,704,63,9900,3670,630,1818,59.0,59,10.5,14,8095,54,72,79.19,53.28
Furman University,Yes,2161,1951,685,56,82,2371,175,13440,4048,600,1250,92.0,95,13.5,28,12940,82,210,90.28,35.11
Gannon University,Yes,2464,1908,678,24,57,2693,691,10970,4280,500,1380,47.0,51,13.3,18,7711,65,556,77.44,35.53
Gardner Webb University,Yes,1110,930,332,18,36,1603,374,8180,4270,500,500,65.0,58,15.2,12,5664,29,180,83.78,35.7
Geneva College,Yes,668,534,237,19,39,1306,258,9476,4820,500,1100,67.0,67,20.1,26,6786,74,134,79.94,44.38
George Fox College,Yes,809,726,294,27,52,1271,43,12500,4130,400,1050,53.0,53,13.5,22,7136,52,83,89.74,40.5
George Mason University,No,5653,4326,1727,17,29,9528,3822,10800,4840,580,1050,93.0,96,19.3,7,6751,46,1327,76.53,39.92
George Washington University,Yes,7875,5062,1492,38,71,5471,1470,17450,6328,700,950,92.0,93,7.6,15,14745,72,2813,64.28,29.47
Georgetown College,Yes,727,693,286,30,55,1063,48,8100,3950,550,550,73.0,76,13.3,28,7508,55,34,95.32,41.27
Georgetown University,Yes,11115,2881,1390,71,93,5881,406,18300,7131,670,1700,91.0,92,7.2,27,19635,95,8234,25.92,48.25
Georgia Institute of Technology,No,7837,4527,2276,89,99,8528,654,6489,4438,795,1164,92.0,92,19.3,33,11271,70,3310,57.76,50.28
Georgia State University,No,3793,2341,1238,9,24,7732,9054,6744,2655,720,3450,87.0,89,19.0,10,7762,34,1452,61.72,52.88
Georgian Court College,Yes,348,281,127,12,52,1095,785,9150,3950,500,800,56.0,59,12.2,27,7348,76,67,80.75,45.2
Gettysburg College,Yes,3596,2466,575,42,78,1944,46,19964,4328,500,500,94.0,95,12.1,32,14720,83,1130,68.58,23.32
Gonzaga University,Yes,1886,1524,526,31,67,2523,296,13000,4450,600,2400,78.0,90,14.7,32,9553,69,362,80.81,34.51
Gordon College,Yes,674,565,282,25,54,1151,39,12200,4070,400,1200,73.0,82,14.2,32,9226,66,109,83.83,49.91
Goshen College,Yes,440,396,221,26,51,910,166,9420,3730,600,1230,51.0,56,9.9,46,10270,72,44,90.0,55.81
Goucher College,Yes,1151,813,248,40,64,850,80,15588,6174,500,1200,78.0,90,9.2,34,16623,77,338,70.63,30.5
Grace College and Seminary,Yes,548,428,167,18,46,618,113,8958,3670,300,1000,53.0,59,15.3,26,9798,64,120,78.1,39.02
Graceland College,Yes,555,414,242,14,41,996,2281,9100,3100,550,880,51.0,61,23.6,24,5609,47,141,74.59,58.45
Grand Valley State University,No,5165,3887,1561,20,60,8234,2619,6108,3800,500,1000,64.0,66,20.6,9,5063,57,1278,75.26,40.16
Green Mountain College,Yes,780,628,198,7,20,545,42,11750,2700,400,850,77.0,83,14.0,24,6475,76,152,80.51,31.53
Greensboro College,Yes,608,494,176,10,31,649,314,8330,3770,550,1300,64.0,80,13.0,31,7949,39,114,81.25,35.63
Greenville College,Yes,510,387,194,20,46,771,53,10310,4530,400,800,57.0,61,14.3,16,8222,60,123,75.88,50.13
Grinnell College,Yes,2039,1389,432,56,91,1333,30,15688,4618,400,400,88.0,92,9.5,54,18979,83,650,68.12,31.1
Grove City College,Yes,2491,1110,573,57,88,2213,35,5224,3048,525,350,65.0,65,18.4,18,4957,100,1381,44.56,51.62
Guilford College,Yes,1202,1054,326,18,44,1410,299,13404,5160,450,1050,78.0,86,15.6,30,9114,65,148,87.69,30.93
Gustavus Adolphus College,Yes,1709,1385,634,36,72,2281,50,14125,3600,400,700,79.0,89,12.5,58,9907,80,324,81.04,45.78
Gwynedd Mercy College,Yes,380,237,104,30,56,716,1108,11000,5550,500,500,36.0,41,7.8,22,7483,96,143,62.37,43.88
Hamilton College,Yes,3140,1783,454,40,82,1646,24,19700,5050,300,800,91.0,96,9.6,60,17761,91,1357,56.78,25.46
Hamline University,Yes,1006,825,328,34,73,1362,102,13252,4194,450,550,89.0,93,13.0,33,10296,65,181,82.01,39.76
Hampden - Sydney College,Yes,817,644,307,20,40,945,1,13218,4773,660,600,95.0,97,13.3,53,12263,69,173,78.82,47.67
Hampton University,Yes,7178,3755,1433,25,63,4623,740,7161,3518,600,2000,60.0,64,14.0,9,6791,70,3423,52.31,38.16
Hanover College,Yes,1006,837,317,33,65,1024,15,8200,3485,500,1200,84.0,84,10.6,26,9248,64,169,83.2,37.87
Hardin-Simmons University,Yes,467,424,350,16,40,1365,334,6300,2980,700,2140,75.0,79,13.7,10,7054,38,43,90.79,82.55
Harding University,Yes,1721,1068,806,35,75,3128,213,5504,3528,700,910,71.0,77,17.7,37,6466,73,653,62.06,75.47
Hartwick College,Yes,2083,1725,430,22,49,1464,67,17480,4780,500,700,75.0,87,12.3,32,11625,73,358,82.81,24.93
Harvard University,Yes,13865,2165,1606,90,100,6862,320,18485,6410,500,1920,97.0,97,9.9,52,37219,100,11700,15.61,74.18
Harvey Mudd College,Yes,1377,572,178,95,100,654,5,17230,6690,700,900,100.0,100,8.2,46,21569,100,805,41.54,31.12
Hastings College,Yes,817,708,262,22,52,935,37,9376,3272,500,1902,57.0,63,13.0,17,7335,52,109,86.66,37.01
Hendrix College,Yes,823,721,274,52,87,954,6,8800,3195,500,1200,82.0,99,13.1,26,8588,63,102,87.61,38.0
Hillsdale College,Yes,920,745,347,35,66,1133,42,11090,4700,400,750,80.0,80,12.0,31,12639,79,175,80.98,46.58
Hiram College,Yes,922,729,244,37,66,1000,275,14067,4560,400,1000,75.0,95,10.6,34,12165,79,193,79.07,33.47
Hobart and William Smith Colleges,Yes,2688,2081,500,25,53,1792,5,19029,5841,600,600,99.0,99,12.1,37,13040,79,607,77.42,24.03
Hofstra University,Yes,7428,5860,1349,25,63,6534,1350,11600,5920,1000,1000,81.0,90,13.9,10,10093,60,1568,78.89,23.02
Hollins College,Yes,602,498,215,26,58,795,74,13470,5515,500,850,78.0,91,11.1,48,13957,72,104,82.72,43.17
Hood College,Yes,699,565,176,36,64,710,399,13960,6040,450,690,82.0,88,14.4,34,12434,72,134,80.83,31.15
Hope College,Yes,1712,1483,624,37,69,2505,208,12275,4341,465,1100,72.0,81,12.5,40,9284,72,229,86.62,42.08
Houghton College,Yes,949,786,302,30,70,1210,26,9990,3550,500,1500,85.0,90,15.0,24,8187,67,163,82.82,38.42
Huntingdon College,Yes,608,520,127,26,47,538,126,8080,3920,500,1100,63.0,72,11.4,9,7703,44,88,85.53,24.42
Huntington College,Yes,450,430,125,20,46,488,43,9950,3920,300,1300,76.0,76,11.8,25,9466,47,20,95.56,29.07
Huron University,Yes,600,197,124,3,9,392,69,7260,3090,600,1840,31.0,35,12.9,4,9249,21,403,32.83,62.94
Husson College,Yes,723,652,361,10,30,951,706,7800,4000,350,1500,36.0,44,22.0,4,4923,84,71,90.18,55.37
Illinois Benedictine College,Yes,607,558,269,22,47,1222,519,10500,4348,650,1500,81.0,91,11.6,29,8324,75,49,91.93,48.21
Illinois College,Yes,894,787,262,28,63,909,28,8050,3850,600,1000,75.0,75,15.6,30,7348,52,107,88.03,33.29
Illinois State University,No,8681,6695,2408,10,35,15701,1823,7799,3403,537,2605,77.0,84,21.0,16,5569,54,1986,77.12,35.97
Illinois Wesleyan University,Yes,3050,1342,471,55,86,1818,23,14360,4090,400,650,77.0,92,12.9,34,9605,83,1708,44.0,35.1
Immaculata College,Yes,268,253,103,16,44,494,1305,10000,5364,500,1000,56.0,64,11.2,33,7305,69,15,94.4,40.71
Incarnate Word College,Yes,1163,927,386,16,49,1685,556,8840,4689,750,2775,67.0,69,11.4,21,6095,95,236,79.71,41.64
Indiana State University,No,5659,4761,3147,10,31,8596,1949,6892,3706,600,2500,72.0,76,16.6,8,6996,40,898,84.13,66.1
Indiana University at Bloomington,No,16587,13243,5873,25,72,24763,2717,9766,3990,600,2000,77.0,88,21.3,24,8686,68,3344,79.84,44.35
Indiana Wesleyan University,Yes,735,423,366,20,48,2448,707,9210,3782,700,1000,49.0,51,39.8,15,6562,34,312,57.55,86.52
Iona College,Yes,4892,3530,913,13,33,3906,1446,10690,6790,570,1150,66.0,83,16.0,14,8107,66,1362,72.16,25.86
Iowa State University,No,8427,7424,3441,26,59,18676,1715,7550,3224,640,2055,81.0,88,19.2,22,8420,65,1003,88.1,46.35
Ithaca College,Yes,7259,5526,1368,23,52,5612,166,14424,6192,634,1000,58.0,79,11.5,25,9812,75,1733,76.13,24.76
James Madison University,No,11223,5285,2082,32,72,9652,742,7994,4544,500,732,77.0,81,17.9,29,5212,98,5938,47.09,39.39
Jamestown College,Yes,472,410,262,14,41,9950,71,7620,3050,400,400,51.0,53,17.0,21,3186,54,62,86.86,63.9
Jersey City State College,No,2957,1423,691,10,30,3817,1394,3946,4800,400,1500,63.0,67,14.9,10,8367,26,1534,48.12,48.56
John Brown University,Yes,605,405,284,24,53,961,99,6398,3672,400,1350,68.0,68,13.3,19,8118,75,200,66.94,70.12
John Carroll University,Yes,2421,2109,820,27,57,3168,392,11700,5550,600,450,89.0,90,14.5,28,7738,89,312,87.11,38.88
Johns Hopkins University,Yes,8474,3446,911,75,94,3566,1569,18800,6740,500,1040,96.0,97,3.3,38,56233,90,5028,40.67,26.44
Johnson State College,No,833,669,279,3,13,1224,345,7656,4690,500,624,80.0,91,14.4,15,6564,36,164,80.31,41.7
Judson College,Yes,313,228,137,10,30,552,67,9414,4554,500,1700,34.0,55,10.6,30,7840,56,85,72.84,60.09
Juniata College,Yes,1005,859,298,36,55,1075,43,14850,4460,450,420,97.0,97,12.7,37,12067,80,146,85.47,34.69
Kansas State University,No,5880,4075,2833,25,55,14914,2246,6995,3120,600,2000,76.0,86,18.5,22,6122,54,1805,69.3,69.52
Kansas Wesleyan University,Yes,589,575,148,16,40,474,258,8400,3250,500,1400,63.0,55,12.4,14,6535,68,14,97.62,25.74
Keene State College,No,3121,2446,822,5,19,3480,776,7870,4157,500,1150,73.0,73,16.1,13,6195,61,675,78.37,33.61
Kentucky Wesleyan College,Yes,584,497,175,20,49,662,121,8000,4150,500,1300,57.0,65,11.3,32,7058,62,87,85.1,35.21
Kenyon College,Yes,2212,1538,408,44,75,1445,1,19240,3690,750,480,95.0,95,11.1,46,14067,88,674,69.53,26.53
Keuka College,Yes,461,381,174,10,43,738,55,9600,4550,600,750,55.0,94,13.3,43,7863,51,80,82.65,45.67
King's College,Yes,1456,1053,381,20,45,500,541,10910,5160,400,1795,66.0,72,15.6,37,7649,87,403,72.32,36.18
King College,Yes,355,300,142,34,65,509,44,8664,3350,600,3000,65.0,68,10.7,25,8954,65,55,84.51,47.33
Knox College,Yes,1040,845,286,48,77,967,24,15747,4062,400,800,88.0,95,12.7,33,13224,79,195,81.25,33.85
La Roche College,Yes,361,321,185,10,41,650,819,8842,4782,600,1100,57.0,73,14.2,14,7022,52,40,88.92,57.63
La Salle University,Yes,2929,1834,622,20,56,2738,1662,12600,5610,450,3160,90.0,90,15.1,9,9084,84,1095,62.62,33.91
Lafayette College,Yes,4010,2402,572,36,59,2018,226,18730,5740,600,1000,93.0,96,10.5,38,15365,92,1608,59.9,23.81
LaGrange College,Yes,544,399,177,15,35,600,363,6987,3585,750,1500,77.0,83,12.5,12,9067,75,145,73.35,44.36
Lake Forest College,Yes,979,638,271,31,70,968,20,16880,3970,920,1320,91.0,94,10.7,19,15687,77,341,65.17,42.48
Lakeland College,Yes,497,452,231,24,47,887,1957,9400,4005,500,1000,49.0,65,17.2,25,4054,57,45,90.95,51.11
Lamar University,No,2336,1725,1043,10,27,5438,4058,4752,3040,508,1463,48.0,82,18.4,12,5879,26,611,73.84,60.46
Lambuth University,Yes,831,538,224,15,35,840,325,5170,3430,600,1590,61.0,61,16.1,10,5531,60,293,64.74,41.64
Lander University,No,1166,1009,510,9,33,2074,341,4938,2987,528,1702,67.0,77,17.0,11,6119,51,157,86.54,50.55
Lawrence University,Yes,1243,947,324,50,77,1129,74,17163,3891,525,975,76.0,92,10.1,57,13965,77,296,76.19,34.21
Le Moyne College,Yes,1470,1199,425,21,76,1820,558,11040,4840,400,900,89.0,92,13.3,28,8118,94,271,81.56,35.45
Lebanon Valley College,Yes,1386,1060,320,28,56,965,502,13850,4755,400,1125,84.0,84,12.3,30,8196,85,326,76.48,30.19
Lehigh University,Yes,6397,4304,1092,40,84,4298,132,18700,5580,750,1130,96.0,99,12.5,43,14665,91,2093,67.28,25.37
Lenoir-Rhyne College,Yes,979,743,259,25,46,1188,166,10100,4000,400,1000,88.0,92,12.0,20,8539,66,236,75.89,34.86
Lesley College,Yes,244,198,82,12,33,1134,336,11700,5300,550,805,71.0,88,27.8,18,8694,58,46,81.15,41.41
LeTourneau University,Yes,477,417,204,29,54,1532,77,8840,4240,600,1400,58.0,70,20.8,23,6863,56,60,87.42,48.92
Lewis University,Yes,1154,1050,395,12,31,2192,1423,10560,4520,500,1200,36.0,48,14.3,10,7701,61,104,90.99,37.62
Lincoln Memorial University,Yes,787,562,363,21,55,925,605,5950,2890,600,1300,67.0,72,14.6,35,5177,53,225,71.41,64.59
Lincoln University,No,1660,1091,326,15,41,1196,33,4818,3400,350,1400,71.0,72,12.6,8,10912,45,569,65.72,29.88
Lindenwood College,Yes,810,484,356,6,33,2155,191,9200,4800,1000,4200,65.0,85,24.1,9,3480,100,326,59.75,73.55
Linfield College,Yes,1561,1188,458,48,72,1548,840,13380,4210,500,900,89.0,91,17.8,34,8747,81,373,76.11,38.55
Livingstone College,Yes,900,473,217,22,47,621,11,4400,3400,800,900,53.0,93,10.4,16,9268,92,427,52.56,45.88
Lock Haven University of Pennsylvania,No,3570,2215,651,17,41,3390,325,7352,3620,225,500,47.0,55,16.1,14,6374,63,1355,62.04,29.39
Longwood College,No,2747,1870,724,12,47,2874,118,7920,3962,550,2200,74.0,80,18.4,23,5553,62,877,68.07,38.72
Loras College,Yes,1641,1283,527,20,39,1663,170,11200,4000,500,1200,61.0,62,14.2,24,7578,70,358,78.18,41.08
Louisiana College,Yes,2013,1053,212,33,61,912,158,5150,3036,500,1655,64.0,74,10.5,11,7547,59,960,52.31,20.13
Louisiana State University at Baton Rouge,No,5996,4993,3079,29,57,16269,3757,5925,2980,600,2242,83.0,87,15.9,11,6741,37,1003,83.27,61.67
Louisiana Tech University,No,2397,2144,1525,22,45,6720,1822,3957,2325,618,1656,66.0,77,20.0,13,4546,45,253,89.45,71.13
Loyola College,Yes,4076,3137,738,25,54,3010,184,12990,6300,600,900,86.0,88,14.7,27,9448,80,939,76.96,23.53
Loyola Marymount University,Yes,3768,2662,753,42,64,3558,436,13592,5916,545,1328,84.0,88,14.2,10,11677,84,1106,70.65,28.29
Loyola University,Yes,1891,1698,719,24,80,2740,761,11100,5870,600,750,77.0,88,11.7,14,9456,53,193,89.79,42.34
Luther College,Yes,1549,1392,587,38,72,2269,85,13240,3560,600,400,73.0,85,13.8,38,8949,77,157,89.86,42.17
Lycoming College,Yes,1286,1005,363,16,37,1363,74,13900,4300,500,900,75.0,81,14.0,32,8024,72,281,78.15,36.12
Lynchburg College,Yes,1756,1500,366,3,21,1524,280,12450,5400,450,870,62.0,66,12.4,24,8832,70,256,85.42,24.4
Lyndon State College,No,535,502,223,6,20,959,150,7320,4640,500,600,48.0,65,12.6,15,7114,51,33,93.83,44.42
Macalester College,Yes,2939,1496,452,56,86,1723,113,15909,4772,500,700,85.0,91,11.9,37,14213,77,1443,50.9,30.21
MacMurray College,Yes,740,558,177,12,29,628,63,9620,3750,550,950,49.0,55,10.8,33,10642,59,182,75.41,31.72
Malone College,Yes,874,758,428,21,46,1605,246,9858,3700,450,1200,42.0,45,17.6,16,4796,55,116,86.73,56.46
Manchester College,Yes,1004,802,239,23,63,909,51,10440,3850,525,1450,63.0,72,11.8,20,7940,64,202,79.88,29.8
Manhattan College,Yes,2432,1730,563,20,63,2578,254,12370,6800,500,1800,92.0,92,13.6,25,10062,79,702,71.13,32.54
Manhattanville College,Yes,962,750,212,21,54,830,150,14700,6550,450,400,97.0,97,11.3,24,11291,70,212,77.96,28.27
Mankato State University,No,3073,2672,1547,9,29,9649,1792,4300,2643,450,1660,57.0,68,19.0,11,5801,68,401,86.95,57.9
Marian College of Fond du Lac,Yes,824,670,337,15,41,1160,653,9400,3400,500,1100,37.0,37,8.4,21,5352,59,154,81.31,50.3
Marietta College,Yes,1611,960,342,27,60,1089,210,13850,3920,470,810,80.0,97,13.2,30,10223,96,651,59.59,35.62
Marist College,Yes,4731,3171,830,12,31,3557,658,10700,5925,550,1200,74.0,81,17.6,34,8408,69,1560,67.03,26.17
Marshall University,Yes,4226,3666,2007,14,60,7703,2339,5094,4010,700,1560,77.0,86,16.6,10,6203,50,560,86.75,54.75
Mary Baldwin College,Yes,499,441,199,26,52,846,377,11200,7400,600,1300,66.0,79,6.8,50,10819,90,58,88.38,45.12
Mary Washington College,No,4350,2178,756,39,78,2997,736,6490,4942,650,2102,75.0,80,17.6,30,5358,84,2172,50.07,34.71
Marymount College Tarrytown,Yes,478,327,117,9,34,731,370,11510,6450,575,1075,71.0,93,10.3,30,10502,77,151,68.41,35.78
Marymount Manhattan College,Yes,695,535,239,21,30,988,785,10200,7000,350,1100,63.0,76,11.7,20,10622,68,160,76.98,44.67
Marymount University,Yes,941,772,214,10,30,1247,776,11390,5280,500,750,77.0,82,10.6,17,8575,55,169,82.04,27.72
Maryville College,Yes,1464,888,176,26,52,624,128,11200,4208,500,1642,80.0,90,11.1,43,8317,51,576,60.66,19.82
Maryville University,Yes,549,397,169,26,51,1343,1751,9250,4550,425,1350,52.0,58,13.1,13,5925,61,152,72.31,42.57
Marywood College,Yes,1107,859,323,13,51,1452,402,11040,4500,600,700,65.0,76,11.8,30,9034,66,248,77.6,37.6
Massachusetts Institute of Technology,Yes,6411,2140,1078,96,99,4481,28,20100,5975,725,1600,99.0,99,10.1,35,33541,94,4271,33.38,50.37
Mayville State University,No,233,233,153,5,12,658,58,4486,2516,600,1900,68.0,68,15.7,11,6971,51,0,100.0,65.67
McKendree College,Yes,1002,555,119,16,43,836,684,7680,3740,500,800,70.0,74,17.7,21,6652,52,447,55.39,21.44
McMurry University,Yes,578,411,187,25,50,880,477,6930,3452,400,1525,57.0,64,11.0,11,6383,32,167,71.11,45.5
McPherson College,Yes,420,293,93,11,32,336,80,7950,3750,600,2740,54.0,54,9.8,45,9754,48,127,69.76,31.74
Mercer University,Yes,2286,1668,564,37,70,2943,1260,11985,4081,400,1500,93.0,95,9.2,15,8995,91,618,72.97,33.81
Mercyhurst College,Yes,1557,1074,397,15,40,1805,433,9813,4050,425,1000,45.0,63,16.7,29,7307,78,483,68.98,36.96
Meredith College,Yes,857,772,376,25,58,1721,470,6720,3250,450,1520,77.0,82,13.9,33,6881,82,85,90.08,48.7
Merrimack College,Yes,1981,1541,514,18,36,1927,1084,12500,6200,375,1000,73.0,75,16.8,22,8707,80,440,77.79,33.35
Mesa State College,No,1584,1456,891,6,18,3471,911,5016,3798,540,2256,48.0,48,28.8,12,3871,59,128,91.92,61.2
Messiah College,Yes,1742,1382,607,30,64,2258,53,10300,5080,475,1200,68.0,75,14.1,30,7762,89,360,79.33,43.92
Miami University at Oxford,No,9239,7788,3290,35,39,13606,807,8856,3960,500,1382,81.0,89,17.6,20,7846,85,1451,84.29,42.24
Michigan State University,No,18114,15096,6180,23,57,26640,4120,10658,3734,504,600,93.0,95,14.0,9,10520,71,3018,83.34,40.94
Michigan Technological University,No,2618,2288,1032,42,77,5524,414,8127,3978,900,1200,82.0,82,17.0,25,7473,65,330,87.39,45.1
MidAmerica Nazarene College,Yes,331,331,225,15,36,1100,166,6840,3720,1100,4913,33.0,33,15.4,20,5524,49,0,100.0,67.98
Millersville University of Penn.,No,6011,3075,960,22,60,5146,1532,7844,3830,450,1258,72.0,74,16.8,20,7832,71,2936,51.16,31.22
Milligan College,Yes,610,461,189,26,52,685,49,8200,3300,550,1000,63.0,69,12.0,16,8128,64,149,75.57,41.0
Millikin University,Yes,1444,1261,456,29,62,1788,95,11910,4378,450,965,60.0,77,11.4,25,8149,75,183,87.33,36.16
Millsaps College,Yes,905,834,319,32,61,1073,179,11320,4402,550,1350,82.0,89,12.7,38,11218,58,71,92.15,38.25
Milwaukee School of Engineering,Yes,1217,1088,496,36,69,1773,884,11505,3255,1000,2075,35.0,46,16.7,23,7140,67,129,89.4,45.59
Mississippi College,Yes,594,385,307,36,57,1695,721,5580,2830,600,700,77.0,79,16.5,18,6170,61,209,64.81,79.74
Mississippi State University,No,4255,3277,1609,18,57,10094,1621,9866,3084,480,1479,77.0,77,15.9,20,6223,53,978,77.02,49.1
Mississippi University for Women,No,480,405,380,19,46,1673,1014,4386,2217,600,1500,49.0,54,15.8,8,5704,63,75,84.38,93.83
Missouri Southern State College,No,1576,1326,913,13,50,3689,2200,3840,2852,200,400,52.0,54,20.3,9,4172,100,250,84.14,68.85
Missouri Valley College,Yes,1310,983,316,5,35,1057,175,8550,5050,400,900,35.0,67,17.4,16,4333,27,327,75.04,32.15
Monmouth College IL,Yes,601,503,204,28,57,671,11,13000,4100,400,460,91.0,91,11.6,43,11087,56,98,83.69,40.56
Monmouth College,Yes,2707,1881,478,14,34,1893,847,12480,5290,530,1740,70.0,85,14.2,15,9492,54,826,69.49,25.41
Montana College of Mineral Sci. & Tech.,No,572,544,320,45,72,1470,416,6073,3400,550,1400,71.0,71,16.4,31,6112,74,28,95.1,58.82
Montana State University,No,3500,2836,1779,15,42,8730,993,5552,3710,550,2300,75.0,83,17.6,8,6324,37,664,81.03,62.73
Montclair State University,No,5220,2128,865,19,53,6411,3186,3648,4834,700,950,82.0,87,21.5,9,6717,58,3092,40.77,40.65
Montreat-Anderson College,Yes,263,223,103,10,24,316,20,8438,3372,500,2958,42.0,50,11.1,4,11989,15,40,84.79,46.19
Moravian College,Yes,1232,955,303,23,58,1241,485,14990,4730,550,1250,86.0,92,15.2,28,9566,74,277,77.52,31.73
Morehouse College,Yes,3708,1678,722,41,66,2852,153,7050,5490,250,600,71.0,74,17.8,10,8122,83,2030,45.25,43.03
Morningside College,Yes,586,533,239,16,36,950,228,10520,3678,500,1000,48.0,68,13.0,32,8111,56,53,90.96,44.84
Morris College,Yes,882,730,330,2,13,926,12,4515,2550,850,2100,53.0,60,18.6,34,6990,60,152,82.77,45.21
Mount Holyoke College,Yes,1800,1314,526,47,79,1891,40,19300,5700,750,750,79.0,91,9.0,51,18359,84,486,73.0,40.03
Mount Marty College,Yes,279,276,126,17,37,600,435,6844,2980,500,500,45.0,55,11.7,38,5073,44,3,98.92,45.65
Mount Mary College,Yes,235,217,121,12,32,931,487,8950,3119,550,1125,51.0,51,10.7,26,7016,78,18,92.34,55.76
Mount Mercy College,Yes,368,317,159,20,49,806,542,10500,3555,500,2285,44.0,50,11.3,30,6695,64,51,86.14,50.16
Mount Saint Clare College,Yes,325,284,95,16,33,364,88,9900,3650,500,1200,32.0,37,13.6,43,6525,21,41,87.38,33.45
Mount Saint Mary's College,Yes,1321,1159,328,15,36,1243,79,12850,6200,550,900,77.0,82,12.8,36,8536,80,162,87.74,28.3
Mount Saint Mary College,Yes,1170,695,238,14,48,1170,429,7470,4600,250,1400,74.0,75,15.3,23,6898,88,475,59.4,34.24
